trigger_class,rt,prior,workerid,slide_number_in_experiment,question_type,prior_fact,Answer.time_in_minutes,trigger,short_trigger,content,response,block
MC,14217,,0,5,projective,Ballet is a type of dance,7.809833333333334,MC,MC,ballet,0.04,block1
C,12055,low_prior,0,6,projective,Emma is in first grade,7.809833333333334,reveal,reveal,emma,0.17,block1
C,11247,low_prior,0,7,projective,Danny is a diabetic,7.809833333333334,demonstrate,demonstrate,danny,0.2,block1
MC,8521,,0,8,projective,Hats are worn on the head,7.809833333333334,MC,MC,hat,0.02,block1
C,9059,low_prior,0,9,projective,Jayden doesn't have a driver's license,7.809833333333334,be_right,be_right,jayden,0.07,block1
C,7548,low_prior,0,10,projective,Olivia has two small children,7.809833333333334,establish,establish,olivia,0.23,block1
C,9598,high_prior,0,11,projective,Grace loves her sister,7.809833333333334,be_annoyed,be_annoyed,grace,0.93,block1
C,5983,low_prior,0,12,projective,Julian is German,7.809833333333334,suggest,suggest,julian,0.11,block1
C,9284,high_prior,0,13,projective,Josh is a 5-year old boy,7.809833333333334,acknowledge,acknowledge,josh,0.47,block1
C,9284,low_prior,0,14,projective,Jon lives 10 miles away from work,7.809833333333334,pretend,pretend,jon,0.11,block1
C,7846,high_prior,0,15,projective,Sophia is a hipster,7.809833333333334,discover,discover,sophia,0.81,block1
C,8098,high_prior,0,16,projective,Josie loves France,7.809833333333334,know,know,josie,0.79,block1
C,9934,high_prior,0,17,projective,Zoe is a math major,7.809833333333334,think,think,zoe,0.69,block1
C,6558,low_prior,0,18,projective,Jackson is obese,7.809833333333334,admit,admit,jackson,0.51,block1
MC,5461,,0,19,projective,Garages are used to store cars and other things,7.809833333333334,MC,MC,garage,0.05,block1
C,6825,high_prior,0,20,projective,Tony really likes to party with his friends,7.809833333333334,say,say,tony,0.08,block1
C,8309,high_prior,0,21,projective,Emily has been saving for a year,7.809833333333334,hear,hear,emily,0.38,block1
C,9446,low_prior,0,22,projective,Charley lives in Korea,7.809833333333334,announce,announce,charley,0.21,block1
MC,7750,,0,23,projective,Many children like ice cream,7.809833333333334,MC,MC,kids,0.09,block1
MC,5786,,0,24,projective,Pizza is sold at the pizzeria,7.809833333333334,MC,MC,pizza,0.02,block1
C,4672,low_prior,0,25,projective,Mary is a middle school student,7.809833333333334,prove,prove,mary,0.12,block1
C,12621,low_prior,0,26,projective,Owen lives in New Orleans,7.809833333333334,see,see,owen,0.49,block1
C,5123,high_prior,0,27,projective,Mia is a college student,7.809833333333334,confirm,confirm,mia,0.31,block1
C,6522,high_prior,0,28,projective,Isabella is from Argentina,7.809833333333334,inform,inform,isabella,0.29,block1
MC,4559,,0,29,projective,Muffins are sold at the bakery,7.809833333333334,MC,MC,muffins,0.03,block1
C,11884,high_prior,0,30,projective,Frank has always wanted a pet,7.809833333333334,confess,confess,frank,0.23,block1
C,7632,high_prior,0,32,ai,Grace loves her sister,7.809833333333334,be_annoyed,be_annoyed,grace,0.02,block2
MC,3837,,0,33,ai,Muffins are sold at the bakery,7.809833333333334,MC,MC,muffins,0.97,block2
C,5908,high_prior,0,34,ai,Mia is a college student,7.809833333333334,confirm,confirm,mia,0.48,block2
C,5435,low_prior,0,35,ai,Jackson is obese,7.809833333333334,admit,admit,jackson,0.44,block2
MC,4748,,0,36,ai,Ballet is a type of dance,7.809833333333334,MC,MC,ballet,0.96,block2
C,5074,high_prior,0,37,ai,Frank has always wanted a pet,7.809833333333334,confess,confess,frank,0.49,block2
C,4135,low_prior,0,38,ai,Julian is German,7.809833333333334,suggest,suggest,julian,0.5,block2
C,8023,low_prior,0,39,ai,Jayden doesn't have a driver's license,7.809833333333334,be_right,be_right,jayden,0.76,block2
C,5537,low_prior,0,40,ai,Charley lives in Korea,7.809833333333334,announce,announce,charley,0.43,block2
C,5073,low_prior,0,41,ai,Mary is a middle school student,7.809833333333334,prove,prove,mary,0.48,block2
C,7222,low_prior,0,42,ai,Jon lives 10 miles away from work,7.809833333333334,pretend,pretend,jon,0.21,block2
MC,13408,,0,43,ai,Many children like ice cream,7.809833333333334,MC,MC,kids,0.98,block2
C,3862,high_prior,0,44,ai,Sophia is a hipster,7.809833333333334,discover,discover,sophia,0.46,block2
MC,12046,,0,45,ai,Hats are worn on the head,7.809833333333334,MC,MC,hat,0.96,block2
C,6998,high_prior,0,46,ai,Isabella is from Argentina,7.809833333333334,inform,inform,isabella,0.46,block2
C,4935,low_prior,0,47,ai,Emma is in first grade,7.809833333333334,reveal,reveal,emma,0.45,block2
MC,6960,,0,48,ai,Pizza is sold at the pizzeria,7.809833333333334,MC,MC,pizza,0.99,block2
C,3573,high_prior,0,49,ai,Zoe is a math major,7.809833333333334,think,think,zoe,0.43,block2
C,3600,high_prior,0,50,ai,Tony really likes to party with his friends,7.809833333333334,say,say,tony,0.44,block2
C,4822,low_prior,0,51,ai,Olivia has two small children,7.809833333333334,establish,establish,olivia,0.44,block2
